order_id,order_date,customer_id,customer_state,product_category,price,quantity,payment_type,order_status,freight_value,total_value
1,2023-04-13,1273,RS,Eletrônicos,638.79,4,Pix,Entregue,21.23,2576.39
2,2023-12-15,1415,CE,Eletrônicos,1438.18,4,Cartão de Crédito,Cancelado,76.16,5828.88
3,2023-09-28,1607,CE,Beleza,825.44,1,Cartão de Crédito,Em trânsito,106.12,931.5600000000001
4,2023-04-17,1738,CE,Casa,919.48,3,Boleto,Cancelado,23.18,2781.62
5,2023-03-13,1890,BA,Moda,354.12,1,Boleto,Cancelado,59.62,413.74
6,2023-07-08,1038,RJ,Casa,949.71,3,Boleto,Entregue,110.2,2959.33
7,2023-01-21,1813,PR,Beleza,870.26,3,Pix,Entregue,99.57,2710.35
8,2023-04-13,1028,RS,Moda,301.71,4,Boleto,Entregue,67.16,1274.0
9,2023-05-02,1957,PE,Casa,117.59,4,Pix,Entregue,94.87,565.23
10,2023-08-03,1476,RJ,Moda,918.41,3,Pix,Entregue,67.5,2822.73
11,2023-11-27,1317,SC,Eletrônicos,1152.63,3,Pix,Cancelado,27.39,3485.28
12,2023-03-29,1244,PR,Casa,799.4,3,Pix,Entregue,23.72,2421.9199999999996
13,2023-04-10,1747,RJ,Moda,363.36,4,Boleto,Em trânsito,30.72,1484.16
14,2023-12-26,1696,SP,Moda,1009.79,4,Cartão de Crédito,Cancelado,48.6,4087.7599999999998
15,2023-06-01,1271,PE,Moda,147.76,2,Cartão de Crédito,Cancelado,112.36,407.88
16,2023-05-11,1439,RJ,Casa,679.5,3,Cartão de Crédito,Cancelado,97.96,2136.46
17,2023-05-30,1747,BA,Esporte,270.15,2,Boleto,Cancelado,57.61,597.91
18,2023-11-05,1238,CE,Casa,301.15,3,Cartão de Crédito,Cancelado,64.24,967.6899999999999
19,2023-09-15,1376,CE,Beleza,327.37,4,Boleto,Entregue,39.22,1348.7
20,2023-12-10,1265,PE,Casa,598.46,2,Boleto,Entregue,87.48,1284.4
21,2023-10-21,1925,CE,Moda,105.19,2,Boleto,Cancelado,98.3,308.68
22,2023-07-11,1920,RJ,Eletrônicos,614.76,1,Cartão de Crédito,Cancelado,36.28,651.04
23,2023-10-04,1358,SC,Casa,782.21,3,Cartão de Crédito,Entregue,14.6,2361.23
24,2023-06-10,1339,RS,Casa,740.44,4,Cartão de Crédito,Entregue,78.63,3040.3900000000003
25,2023-11-10,1388,RS,Moda,592.69,1,Pix,Entregue,71.88,664.57
26,2023-01-22,1576,PR,Eletrônicos,1263.55,1,Boleto,Entregue,54.23,1317.78
27,2023-09-10,1989,MG,Eletrônicos,243.63,3,Pix,Em trânsito,80.83,811.72
28,2023-08-24,1688,SP,Beleza,773.37,1,Boleto,Em trânsito,70.57,843.94
29,2023-12-11,1002,PE,Casa,121.2,3,Cartão de Crédito,Entregue,37.56,401.16
30,2023-02-18,1428,PR,Eletrônicos,134.6,1,Boleto,Entregue,53.75,188.35
31,2023-02-28,1141,MG,Eletrônicos,873.58,3,Boleto,Entregue,57.09,2677.8300000000004
32,2023-06-19,1375,BA,Esporte,862.05,4,Pix,Entregue,106.83,3555.0299999999997
33,2023-07-07,1669,BA,Esporte,1320.71,3,Boleto,Entregue,115.7,4077.83
34,2023-09-28,1323,SP,Eletrônicos,850.07,3,Cartão de Crédito,Entregue,108.23,2658.44
